episode,reward,waiting,queue,arrived,loss,pg_loss,val_loss,entropy,entropy_coef,phase_counts,phases_used,dominant_phase,dominant_pct
1,8153.001687500013,1002.5563888888889,19.501944444444444,1708.0,687.0664901733398,-0.013263486814685166,1377.826708984375,3.6672084093093873,0.5,"{""0"": 30, ""1"": 30, ""7"": 20, ""4"": 35, ""3"": 31, ""2"": 27, ""6"": 31, ""5"": 26}",8,4,15.2
2,8234.409062499983,1045.5875,20.934444444444445,1726.0,713.9331352233887,-0.005331844557076693,1431.537173461914,3.6647209584712983,0.4993875,"{""0"": 27, ""7"": 32, ""5"": 29, ""4"": 29, ""6"": 30, ""2"": 26, ""3"": 27, ""1"": 22}",8,7,14.4
3,8191.322562500007,947.1775,19.677777777777777,1714.0,913.9251068115234,-0.026237545162439348,1831.5623657226563,3.6686687529087068,0.498775,"{""0"": 27, ""7"": 26, ""1"": 29, ""6"": 29, ""3"": 24, ""5"": 24, ""4"": 27, ""2"": 33}",8,2,15.1
4,8226.481187499994,797.8169444444444,16.712777777777777,1712.0,361.1946056365967,-0.010321408906020225,726.064436340332,3.6680683195590973,0.4981625,"{""0"": 28, ""5"": 30, ""1"": 36, ""7"": 25, ""4"": 23, ""2"": 24, ""3"": 23, ""6"": 32}",8,1,16.3
5,8144.337812500006,858.7402777777778,18.986944444444443,1701.0,570.3975288391114,-0.04234516283031553,1144.5353744506835,3.673628544807434,0.49755,"{""0"": 37, ""5"": 27, ""3"": 27, ""2"": 37, ""4"": 26, ""1"": 31, ""7"": 35, ""6"": 25}",8,0,15.1
6,8309.740000000013,805.825,17.899722222222223,1730.0,503.7880004882812,-0.0457668028306216,1011.3123123168946,3.6672384977340697,0.4969375,"{""0"": 35, ""4"": 24, ""3"": 35, ""2"": 29, ""5"": 18, ""1"": 29, ""7"": 33, ""6"": 26}",8,0,15.3
7,8245.61281249998,814.9319444444444,18.82611111111111,1717.0,421.29459381103516,-0.033976921788416804,846.3054954528809,3.6753698229789733,0.496325,"{""0"": 23, ""3"": 25, ""4"": 31, ""1"": 31, ""5"": 25, ""2"": 24, ""6"": 37, ""7"": 26}",8,6,16.7
8,8189.40306249999,848.7863888888888,17.903333333333332,1707.0,485.6033660888672,-0.0295815774705261,974.90615234375,3.67175036072731,0.4957125,"{""0"": 23, ""5"": 37, ""2"": 29, ""6"": 22, ""1"": 31, ""4"": 29, ""7"": 25, ""3"": 30}",8,5,16.4
9,8221.373875000005,947.3077777777778,19.428055555555556,1719.0,416.84520492553713,-0.03157100440002978,837.3906524658203,3.6731051981449125,0.4951,"{""0"": 29, ""3"": 32, ""4"": 13, ""6"": 25, ""7"": 30, ""5"": 33, ""2"": 22, ""1"": 35}",8,1,16.0
10,8156.751437500013,1126.4047222222223,21.672777777777778,1718.0,400.85485916137696,-0.02231128278654069,805.3842704772949,3.6703996121883393,0.4944875,"{""0"": 31, ""1"": 25, ""6"": 26, ""2"": 30, ""3"": 33, ""4"": 31, ""5"": 22, ""7"": 26}",8,3,14.7
11,7727.1455,1157.9144444444444,22.860555555555557,1630.0,303.8417427062988,-0.04643612364307046,611.4017753601074,3.6703771531581877,0.493875,"{""0"": 22, ""4"": 33, ""7"": 31, ""6"": 20, ""5"": 36, ""1"": 17, ""2"": 23, ""3"": 34}",8,5,16.7
12,8359.255999999988,1163.0372222222222,22.329722222222223,1757.0,498.5893264770508,-0.039375966088846324,1000.8752395629883,3.667248022556305,0.4932625,"{""0"": 27, ""7"": 25, ""3"": 32, ""6"": 23, ""4"": 26, ""1"": 26, ""5"": 18, ""2"": 30}",8,3,15.5
13,8393.657000000005,956.8966666666666,21.823888888888888,1755.0,464.3908638000488,-0.03805696174968034,932.4762252807617,3.67236088514328,0.49265,"{""0"": 27, ""7"": 28, ""6"": 28, ""1"": 30, ""3"": 37, ""2"": 28, ""4"": 25, ""5"": 25}",8,3,16.2
14,7977.316875000016,1041.975,20.34777777777778,1674.0,431.15759391784667,-0.009697208576835693,865.9397224426269,3.66347821354866,0.4920375,"{""0"": 33, ""6"": 32, ""1"": 23, ""7"": 23, ""4"": 25, ""3"": 26, ""2"": 18, ""5"": 26}",8,0,16.0
15,8204.500062500008,935.6191666666666,20.07138888888889,1716.0,343.7227157592773,-0.007419616146944463,691.0663970947265,3.669049382209778,0.491425,"{""0"": 26, ""5"": 26, ""3"": 31, ""1"": 37, ""7"": 30, ""6"": 25, ""2"": 29, ""4"": 25}",8,1,16.2
16,8257.067249999998,1117.2233333333334,20.592222222222222,1733.0,336.5634090423584,-0.02842202566098422,676.7910972595215,3.674960321187973,0.4908125,"{""0"": 30, ""2"": 26, ""5"": 21, ""1"": 38, ""7"": 21, ""3"": 27, ""6"": 30, ""4"": 22}",8,1,17.7
17,7998.430312500013,1477.7402777777777,26.7125,1700.0,422.1649688720703,-0.009474434028379618,847.9433090209961,3.666284132003784,0.4902,"{""0"": 32, ""6"": 25, ""1"": 22, ""4"": 29, ""3"": 23, ""7"": 26, ""5"": 28, ""2"": 23}",8,0,15.4
18,8241.88262500002,1535.83,28.544166666666666,1753.0,466.1875396728516,-0.02174163069576025,935.9964630126954,3.653996068239212,0.4895875,"{""0"": 26, ""5"": 30, ""1"": 20, ""2"": 25, ""7"": 25, ""4"": 37, ""6"": 33, ""3"": 26}",8,4,16.7
19,8006.489750000027,1150.2622222222221,21.845,1687.0,278.3411392211914,-0.012644096463918685,560.2918586730957,3.6651114404201506,0.488975,"{""0"": 27, ""1"": 32, ""2"": 31, ""3"": 25, ""6"": 27, ""7"": 25, ""5"": 32, ""4"": 28}",8,1,14.1
20,7819.435312499997,1178.5875,23.183888888888887,1652.0,403.90798568725586,-0.02464050371199846,811.421928024292,3.6414288938045503,0.4883625,"{""0"": 31, ""1"": 24, ""6"": 23, ""7"": 38, ""2"": 29, ""4"": 27, ""3"": 20, ""5"": 25}",8,7,17.5
21,8301.235562500002,823.3919444444444,19.178333333333335,1729.0,372.7922164916992,-0.00973636533599347,749.1744155883789,3.660177218914032,0.48775,"{""0"": 28, ""4"": 25, ""2"": 31, ""7"": 29, ""3"": 35, ""6"": 22, ""1"": 31, ""5"": 25}",8,3,15.5
22,7964.712999999993,1271.9061111111112,23.539722222222224,1686.0,316.1888595581055,-0.018451981153339146,635.9785331726074,3.65801283121109,0.4871375,"{""0"": 34, ""6"": 28, ""4"": 35, ""3"": 29, ""5"": 19, ""2"": 24, ""1"": 22, ""7"": 23}",8,4,16.4
23,8055.759124999997,843.7955555555556,18.1275,1679.0,331.41723136901857,-0.013647233135998249,666.4250989913941,3.662030893564224,0.486525,"{""0"": 32, ""2"": 36, ""3"": 19, ""4"": 21, ""7"": 34, ""5"": 20, ""1"": 27, ""6"": 23}",8,2,17.0
24,8031.510187500002,1033.4880555555555,19.835555555555555,1691.0,433.06611957550047,0.017643836233764885,869.6474105834961,3.6533931255340577,0.4859125,"{""0"": 28, ""1"": 36, ""4"": 25, ""2"": 34, ""5"": 28, ""6"": 24, ""7"": 30, ""3"": 24}",8,1,15.7
25,8128.6406874999975,698.5941666666666,16.05027777777778,1688.0,299.2583122253418,-0.03223064674530178,602.1366325378418,3.66324964761734,0.4853,"{""0"": 33, ""3"": 24, ""6"": 23, ""2"": 32, ""1"": 38, ""5"": 29, ""4"": 29, ""7"": 26}",8,1,16.2
26,8124.210687500019,1359.4552777777778,25.033055555555556,1723.0,519.7787368774414,-0.024274527886882426,1043.1624252319336,3.66876562833786,0.4846875,"{""0"": 32, ""3"": 20, ""2"": 26, ""7"": 31, ""5"": 35, ""6"": 26, ""1"": 34, ""4"": 34}",8,5,14.7
27,8292.166187499994,1410.7558333333334,23.564444444444444,1756.0,472.2368324279785,0.011762308655306697,947.9799652099609,3.6459375262260436,0.484075,"{""0"": 34, ""1"": 25, ""5"": 36, ""7"": 33, ""4"": 24, ""6"": 30, ""3"": 19, ""2"": 28}",8,5,15.7
28,8252.090499999982,933.8533333333334,19.232777777777777,1726.0,517.3922750473023,-0.0030157404718920587,1038.3279441833497,3.658363628387451,0.4834625,"{""0"": 30, ""3"": 28, ""1"": 27, ""6"": 25, ""2"": 36, ""5"": 32, ""7"": 24, ""4"": 24}",8,2,15.9
29,8148.468687499983,1247.4197222222222,23.919166666666666,1718.0,367.579599571228,-0.01176045360043645,738.7169654846191,3.659771662950516,0.48285,"{""0"": 28, ""4"": 26, ""3"": 28, ""6"": 24, ""5"": 30, ""1"": 25, ""7"": 28, ""2"": 22}",8,5,14.2
30,8079.618875000004,816.68,18.384722222222223,1686.0,482.02838268280027,-0.001839136565104127,967.5849258422852,3.654301571846008,0.4822375,"{""0"": 28, ""1"": 34, ""6"": 33, ""7"": 29, ""5"": 25, ""2"": 38, ""3"": 22, ""4"": 23}",8,2,16.4
31,8528.69868750001,996.9169444444444,21.025555555555556,1785.0,411.7011150360107,-0.018368589552119376,826.967509841919,3.663167381286621,0.481625,"{""0"": 33, ""6"": 26, ""2"": 29, ""3"": 30, ""7"": 26, ""5"": 28, ""1"": 25, ""4"": 36}",8,4,15.5
32,8297.060999999996,1147.2122222222222,21.154444444444444,1747.0,537.5266971588135,-0.024073214968666434,1078.6227752685547,3.660236710309982,0.4810125,"{""0"": 42, ""7"": 34, ""1"": 26, ""6"": 30, ""2"": 28, ""3"": 18, ""4"": 28, ""5"": 31}",8,0,17.7
33,7967.315999999997,783.0372222222222,18.35861111111111,1662.0,516.3085466384888,-0.009424748038873077,1036.1654262542725,3.673476505279541,0.4804,"{""0"": 29, ""2"": 32, ""6"": 24, ""3"": 24, ""4"": 33, ""5"": 24, ""1"": 29, ""7"": 27}",8,4,14.9
34,7850.007062500013,875.1186111111111,18.679444444444446,1641.0,389.18017864227295,-0.01859066803008318,781.9223266601563,3.6732815742492675,0.4797875,"{""0"": 27, ""1"": 29, ""5"": 28, ""7"": 26, ""3"": 32, ""6"": 27, ""4"": 28, ""2"": 27}",8,3,14.3
35,8099.732750000006,785.3738888888889,18.65361111111111,1688.0,405.0383590698242,-0.024141330481506885,813.6473091125488,3.6753875970840455,0.479175,"{""0"": 36, ""4"": 31, ""5"": 30, ""2"": 29, ""3"": 28, ""7"": 22, ""6"": 22, ""1"": 30}",8,0,15.8
36,8287.408249999973,989.5744444444445,20.28611111111111,1735.0,380.56038026809694,-0.007201084680855274,764.64521484375,3.667279100418091,0.4785625,"{""0"": 38, ""3"": 35, ""4"": 29, ""6"": 25, ""1"": 23, ""7"": 12, ""5"": 35, ""2"": 25}",8,0,17.1
37,7983.090124999993,841.2605555555556,18.628333333333334,1667.0,437.230966758728,-0.024505549552850427,878.0244449615478,3.67559432387352,0.47795,"{""0"": 36, ""2"": 27, ""3"": 27, ""4"": 26, ""1"": 25, ""5"": 46, ""6"": 27, ""7"": 23}",8,5,19.4
38,7758.307562499996,859.7525,18.3825,1620.0,470.81811294555666,-0.03161045196466148,945.2079811096191,3.6751120507717134,0.4773375,"{""0"": 23, ""4"": 25, ""2"": 22, ""7"": 31, ""1"": 32, ""5"": 23, ""3"": 31, ""6"": 23}",8,1,15.2
39,7914.813812500042,651.9080555555555,17.378055555555555,1644.0,509.56293592453005,0.00059266013558954,1022.6256671905518,3.6719135880470275,0.476725,"{""0"": 34, ""2"": 28, ""5"": 35, ""3"": 28, ""1"": 30, ""6"": 20, ""7"": 25, ""4"": 25}",8,5,15.6
40,8026.515500000007,1085.9144444444444,20.782222222222224,1687.0,605.4784538269043,-0.007788961660116911,1214.4683639526368,3.671277701854706,0.4761125,"{""0"": 31, ""2"": 28, ""6"": 29, ""3"": 28, ""5"": 33, ""1"": 32, ""7"": 31, ""4"": 16}",8,5,14.5
41,8055.6812500000015,1044.9944444444445,21.467222222222222,1690.0,454.18880519866946,-0.010558271966874599,911.8944255828858,3.675814741849899,0.4755,"{""0"": 29, ""6"": 19, ""3"": 23, ""4"": 25, ""7"": 28, ""2"": 29, ""5"": 33, ""1"": 21}",8,5,15.9
42,7850.722187499999,788.2125,18.407777777777778,1640.0,529.187781906128,-0.002866027504205704,1061.8699851989745,3.673179256916046,0.4748875,"{""0"": 26, ""5"": 24, ""6"": 33, ""4"": 26, ""7"": 30, ""2"": 17, ""3"": 31, ""1"": 35}",8,1,15.8
43,7702.908625000012,1085.1172222222222,20.892777777777777,1625.0,438.67399501800537,0.018824342405423522,880.7923698425293,3.670906591415405,0.474275,"{""0"": 31, ""3"": 23, ""2"": 22, ""5"": 27, ""1"": 17, ""4"": 35, ""6"": 34, ""7"": 24}",8,4,16.4
44,7679.99943749999,1014.5358333333334,20.138333333333332,1613.0,430.39469776153567,-0.01435244819149375,864.2901069641114,3.66506450176239,0.4736625,"{""0"": 31, ""4"": 26, ""3"": 26, ""7"": 29, ""2"": 30, ""1"": 20, ""6"": 25, ""5"": 21}",8,0,14.9
45,7976.119937500016,1397.8030555555556,24.371944444444445,1693.0,355.4041603088379,-0.002104034088551998,714.2865077972413,3.671900528669357,0.47305,"{""0"": 27, ""1"": 24, ""4"": 33, ""6"": 26, ""2"": 28, ""3"": 30, ""5"": 20, ""7"": 33}",8,4,14.9
46,8258.667812499989,618.6513888888888,16.09638888888889,1711.0,514.0955089569092,0.003938398719765246,1031.6455169677733,3.66436362862587,0.4724375,"{""0"": 32, ""4"": 26, ""3"": 26, ""6"": 40, ""1"": 34, ""7"": 21, ""2"": 28, ""5"": 29}",8,6,16.9
47,8122.561937499996,825.0163888888889,16.995833333333334,1694.0,371.77390451431273,-0.04210222782567143,747.0982593536377,3.673239052295685,0.471825,"{""0"": 24, ""4"": 30, ""3"": 28, ""1"": 35, ""7"": 28, ""2"": 31, ""5"": 26, ""6"": 33}",8,1,14.9
48,8171.834187500001,980.5175,20.96638888888889,1710.0,427.6159580230713,0.0016994564328342676,858.6876796722412,3.670505774021149,0.4712125,"{""0"": 29, ""2"": 26, ""1"": 27, ""3"": 25, ""6"": 25, ""5"": 31, ""7"": 29, ""4"": 26}",8,5,14.2
49,8302.275687499992,1032.4052777777779,20.748055555555556,1741.0,540.4372505187988,-0.005955454148352146,1084.339524078369,3.668848764896393,0.4706,"{""0"": 40, ""6"": 21, ""5"": 34, ""1"": 37, ""4"": 26, ""7"": 19, ""3"": 21, ""2"": 28}",8,0,17.7
50,7955.172312499991,929.3897222222222,18.509444444444444,1668.0,497.84999294281005,-0.0380197761580348,999.2233116149903,3.6674232363700865,0.4699875,"{""0"": 37, ""2"": 29, ""4"": 32, ""1"": 32, ""7"": 35, ""5"": 18, ""3"": 29, ""6"": 27}",8,0,15.5
51,8115.236625000005,953.8927777777777,19.708333333333332,1698.0,473.4617645263672,-0.0036498260451480746,950.3721946716308,3.6658996880054473,0.469375,"{""0"": 30, ""4"": 26, ""2"": 28, ""5"": 20, ""1"": 28, ""7"": 26, ""3"": 32, ""6"": 24}",8,3,15.0
52,7910.075937500017,1039.2513888888889,20.735555555555557,1661.0,499.5328285217285,0.010566911613568663,1002.487208557129,3.672096771001816,0.46876249999999997,"{""0"": 33, ""7"": 19, ""4"": 23, ""5"": 24, ""2"": 32, ""3"": 33, ""6"": 28, ""1"": 29}",8,0,14.9
