episode,reward,waiting,queue,arrived,epsilon,phase_counts,phases_used,dominant_phase,dominant_pct
76,5145.659187500003,5822.261944444444,43.28638888888889,1334.0,0.8588575501216553,"{""0"": 69, ""1"": 69}",2,0,50.0
77,5159.989499999991,5808.596666666666,43.26444444444444,1338.0,0.857139835021412,"{""0"": 71, ""1"": 71}",2,0,50.0
78,4674.16612500001,5877.011666666666,43.18055555555556,1244.0,0.8554255553513692,"{""0"": 75, ""1"": 75}",2,0,50.0
79,5293.581437499996,5855.318611111111,43.37916666666667,1366.0,0.8537147042406664,"{""0"": 72, ""1"": 71}",2,0,50.3
80,5088.481312499992,5897.641388888889,43.7025,1328.0,0.8520072748321851,"{""0"": 71, ""1"": 71}",2,0,50.0
81,4991.549812500006,5966.406388888889,44.14277777777778,1312.0,0.8503032602825207,"{""0"": 69, ""1"": 69}",2,0,50.0
82,4879.4540625,5922.715277777777,43.41833333333334,1288.0,0.8486026537619556,"{""0"": 72, ""1"": 72}",2,0,50.0
83,5037.933437499983,5754.704166666666,42.5925,1310.0,0.8469054484544317,"{""0"": 67, ""1"": 67}",2,0,50.0
84,5060.898624999981,5763.439444444444,43.028888888888886,1313.0,0.8452116375575228,"{""0"": 66, ""1"": 66}",2,0,50.0
85,4975.1853125,5754.870833333333,42.69722222222222,1297.0,0.8435212142824078,"{""0"": 70, ""1"": 69}",2,0,50.4
86,4991.434687499995,5879.254166666667,43.2675,1307.0,0.841834171853843,"{""0"": 71, ""1"": 70}",2,0,50.4
87,5167.157875000001,5847.087222222222,43.221111111111114,1341.0,0.8401505035101353,"{""0"": 73, ""1"": 73}",2,0,50.0
88,5268.222750000002,5758.879444444445,42.585277777777776,1355.0,0.838470202503115,"{""0"": 71, ""1"": 71}",2,0,50.0
89,5197.871250000008,5905.552777777778,43.60194444444444,1350.0,0.8367932620981088,"{""0"": 72, ""1"": 72}",2,0,50.0
90,5242.054000000006,5729.346111111111,42.285833333333336,1350.0,0.8351196755739125,"{""0"": 75, ""1"": 74}",2,0,50.3
